root;fsSystem;fcContext;fcTopology;fcMobSpeed;fsGG;fsRNG;parameterYaoConeCount;fsYao;fsWOpt;fsTCAlgo;fsMAXPOWERTC;fsDKTC;fsEKTC;fsLMST;fsGMST;fsLSTARKTC;parameterKtcK;parameterEKtcK;parameterLStarKtcK;parameterLStarKtcA;weightOptimizationThreshold;fsTCint;mobilitySpeed;fcScenario;fcDATACOLLECTION;fcGOSSIP;fcPOINTTOPOINT;worldSize;nodeCount;edgeCount;topologyDensity;mEMean;mEMedian;mEStddev;mEJain;mDropRate;mEndToEndDropRate;mEndToEndLatency;mTopologyStorageSpanner;mTopologyDensitySpanner;mHopSpannerMean;mHopSpannerMax
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;15;1;1;0;0;300;100;4388;87;51540392;43416372;64962834;3;8757;9244;1100557;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;15;1;1;0;0;300;100;4592;91;51408454;43049792;66197779;3;8784;9237;1099273;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;15;1;1;0;0;300;100;4140;82;51386032;43541524;66782496;3;8773;9229;1098217;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;15;1;1;0;0;300;100;4396;87;50798115;42057053;60342153;4;8603;9264;1114810;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;15;1;1;0;0;300;100;4210;84;51555646;42338419;61901185;4;8595;9251;1111434;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;15;1;1;0;0;300;100;4474;89;44965274;34012779;65601637;3;7586;8568;1117887;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;0;15;1;1;0;0;300;100;4150;83;49011026;40675378;67005853;3;8499;9017;1091940;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;15;1;1;0;0;300;100;4930;98;50847834;41801059;62227886;4;8627;9251;1110706;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;15;1;1;0;0;300;100;4632;92;49361448;38695431;61059274;4;8474;9245;1123903;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;1;15;1;1;0;0;300;100;4404;88;48749809;39097592;64131747;3;8303;9017;1107952;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;15;1;1;0;0;300;100;4596;91;48352612;36249775;63858542;3;8298;9098;1120398;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;15;1;1;0;0;300;100;4928;98;49637108;38751771;62986844;3;8581;9231;1112353;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;15;1;1;0;0;300;100;5050;101;45109164;32077898;69664184;3;7451;8586;1146874;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;10;10;10;0;0;2;15;1;1;0;0;300;100;4634;92;44378116;32116325;70788840;2;7341;8474;1138517;100;100;1;1
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;3926;78;40984269;23560788;18459354;8;2631;9090;2687664;8;6;14;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;3930;78;45225876;25417822;21299054;8;2774;9129;2816377;8;6;12;4
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4018;80;49123894;29781374;20252910;8;2819;9121;2969857;8;6;20;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4158;83;44995300;25177731;20398818;8;2746;9118;2778460;8;6;11;4
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;0;1;1;0;0;300;100;4018;80;43594828;22882915;20210101;8;2741;9257;2519016;8;6;13;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4054;81;23957242;16814241;7534104;9;994;9045;263794;5;3;13;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;3994;79;15616761;10633445;6220301;8;448;9148;119589;5;3;16;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4336;86;22587904;17729759;7173059;9;1135;9250;196419;5;3;13;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4124;82;15767151;11064846;6801279;8;383;9083;147356;4;3;11;4
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4090;81;10141097;8725937;2324409;9;2414;9602;21748;4;2;17;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4252;85;17158086;15416423;2425218;9;4541;9644;44508;4;2;13;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4040;80;6791887;5831892;1835102;9;0;9632;1667;4;2;17;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;1;5;1;1;0;0;300;100;4470;89;6895890;5831892;1913436;9;0;9610;2202;4;2;12;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4204;84;18546297;15703822;3925944;9;4560;9702;311806;4;2;13;4
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;0;5;1;1;0;0;300;100;4096;81;20376610;15431732;6539416;9;978;9190;226061;5;3;17;5
1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;10;10;10;0;0;2;5;1;1;0;0;300;100;4702;94;8807099;7809509;1571480;9;3169;9750;11563;4;2;13;4
